Did,DName,ManSSN,ManStartDate
ACC01,Account,541-86-1708,2020-03-15
PR01,Public Relation,630-12-4787,2020-03-25
FUND01,Funding Finder,015-05-1853,2020-04-20
COL01,Collection Center,489-36-8350,2020-04-15
COL02,Collection Center,514-14-8905,2020-04-01
COL03,Collection Center,690-05-5315,2020-04-25
COL04,Collection Center,421-37-1396,2020-04-20
DIST01,Distribution Center,458-02-6124,2020-05-01
DIST02,Distribution Center,300-62-3266,2020-04-29
DIST03,Distribution Center,660-03-8360,2020-04-23
DIST04,Distribution Center,612-20-6832,2020-04-30
