SSN,Fname,Mint,Lname,Address,Salary,Birth_Date,Sex
177-30-3007,Abimbola,M,Abioye,Gambler Lane Houston TX,40000,1988-07-27,F
566-57-7787,Afia,M,Achebe,Patterson Street Houston TX,50000,1978-03-12,F
064-82-4150,Berko,G,Dogo,Gambler Lane Houston TX,30000,1979-12-11,M
513-18-9581,Kiran,K,Karki,Brooke Street Houston TX,40000,1975-03-12,M
287-82-4761,Fumnaya,K,Egebe,Payne Street Houston TX ,30000,1976-05-30,F
234-42-3437,Folami,M,Kanye,Rockstar Lane Houston TX,40000,1977-02-13,F
434-35-9195,Ife,G,West,South Street Houston TX,45000,1976-05-15,M
234-16-8430,Adriana,I,Johnson,North Street Houston TX,55000,1980-09-11,F
541-86-1708,Gabriella,D,Miller,East Street Houston TX,50000,1980-03-20,F
630-12-4787,Steven,I,Cooper,Micah Ave Houston TX,50000,1979-03-27,M
015-05-1853,Anastasia,S,Steele,Martin Luther Blvd Houston TX,65000,1975-03-12,F
489-36-8350,Robert,,Aragon,Roan Road Houston TX,75000,1980-09-11,M
514-14-8905,Ashley,K,Borden,Cooper Street Houston TX,78000,1985-06-15,F
690-05-5315,Thomas,W,Conley,North Irving Houston TX,80000,1983-04-13,M
421-37-1396,Susan,J,Davis,CowBoy Ave Houston TX,70000,1988-09-11,F
458-02-6124,Christopher,A,Diaz,Rockets Houston TX,69000,1981-09-25,M
612-20-6832,Rick,D,Edwards,James Hard Street Houston TX,70000,1984-05-30,M
300-62-3266,Victor,J,Faulkner,Blair Drive Houston TX,73000,1980-09-11,M
660-03-8360,Lisa,,Garrison,Conflict Street Houston TX,78000,1979-07-01,F
461-97-5660,Lillian,W,Venson,Astroworld Houston TX,55000,1982-04-02,F
172-32-1176,Gail,K,Watson,Noble House Houston TX,60000,1986-06-03,F
151-32-2558,Johnson,,White,New Mexico Houston TX,60000,1979-03-27,M
505-88-5714,Rebecca,,Zwick,Houston Houston TX, 40000,1976-03-15,F
